SMILES,CYP2C9 Substrate Class,CYP2D6 Substrate Class,CYP3A4 Substrate Class,CYP2C9 Activity Class,CYP2D6 Activity Class,CYP3A4 Activity Class,CYP2C9 Inhibitor Class,CYP2D6 Inhibitor Class,CYP3A4_ Inhibitor Class
CC(C)NCC(O)COC1=CC=CC2=C1C=CN2,0,1,0,0,0,0,0,0,0
CCCCCCCCCCCCCCCC(=O)NCCO,0,1,0,0,0,0,0,0,0
CC(C)NCC(O)COC1=C2C=CC=CC2=CC=C1,0,1,0,,,,NA,NA,NA
CCCC(C(=O)OCCN(CC)CC)(C1=CC=CC=C1)C2=CC=CC=C2,1,1,1,1,1,1,subs/inhib,subs/inhib,subs/inhib
CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C,0,0,0,0,0,0,0,0,0
FC1=CC=C(C=C1)C(CCCN2CCC(CC2)N3C(=O)NC4=C3C=CC=C4)C5=CC=C(F)C=C5,0,1,1,0,1,0,0,subs/inhib,0
CC1=CN(C(=O)C=C1)C2=CC=CC=C2,0,0,0,0,0,0,0,0,0
COC1=CC2=CC=NC(CC3=CC(OC)=C(OC)C=C3)=C2C=C1OC,0,0,1,1,1,1,1,1,subs/inhib
CC(CN1C2=C(SC3=C1C=CC=C3)C=CC=C2)N(C)C,0,1,0,0,1,0,0,subs/inhib,0
O=C(C1CCCCC1)N2CC3N(CCC4=C3C=CC=C4)C(=O)C2,0,0,0,0,0,0,0,0,0
CCCNCC(O)COC1=C(C=CC=C1)C(=O)CCC2=CC=CC=C2,0,1,1,0,1,1,0,subs/inhib,subs/inhib
NC(=O)CN1CCCC1=O,,,0,0,0,0,NA,NA,0
COC1=CC=C(CN(CCN(C)C)C2=NC=CC=C2)C=C1,0,1,0,0,1,0,0,subs/inhib,0
CN1C(C(=O)NC2=CC=CC=N2)=C(O)C3=C(C=CC=C3)[S+]1([O-])=O,0,0,0,0,0,0,0,0,0
OCCN1CCN(CCCN2C3=C(SC4=C2C=C(Cl)C=C4)C=CC=C3)CC1,0,1,1,0,1,0,0,subs/inhib,0
CN(C)CCCN1C2=C(SC3=C1C=CC=C3)C=CC=C2,0,1,0,0,1,0,0,subs/inhib,0
