CANONICAL_SMILES,INCHIKEY,pChEMBL mean,pChEMBL std,Molecule Name,Compound Key,appears_in_N_ChEMBL_assays
COC(=O)C1CC[C@H](C)[C@@H](c2ccc(C)cc2)N1C(=O)c1ccc(/C=N\O[C@@H](C)c2cn([C@H](CO)Cc3ccccc3)nn2)cc1,FNYQWTVKTSKSSE-PAUYJTAXSA-N,5.7,0.21908902300206667,,SID26750958,6
COc1cc([C@H]2c3cc4c(cc3[C@@H](O)[C@@H]3COC(=O)C23)OCO4)cc(OC)c1OC,YJGVMLPVUAXIQN-YLZHBMLUSA-N,5.6499999999999995,0.05477225575051686,,SID11112379,6
C[C@@H](CN(C)C)CN1c2ccccc2CCc2ccccc21,ZSCDBOWYZJWBIY-INIZCTEOSA-N,5.05,0.05477225575051642,,SID11112386,6
CCn1c(O)c2c(c1O)[C@H]1[C@H](O)[C@H](O)C/C(=N/O[C@@H](C)c3cn([C@H](CO)Cc4ccccc4)nn3)[C@@H]1CC2,BDUUZCSOJHSXQB-NYMYDAAKSA-N,5.3999999999999995,0.10954451150103306,,SID26751005,6
C/C(CCN1CCCc2nc(C)c(C)cc21)=N\O[C@@H](C)c1cn([C@H](CO)Cc2ccccc2)nn1,ZCSUYCHKAQUGEK-OJCBESBOSA-N,5.5,0.2190890230020665,,SID26750944,6
COc1c2occc2c(OC)c2c(=O)cc(C)oc12,HSMPDPBYAYSOBC-UHFFFAOYSA-N,5.18,0.16431676725154973,KHELLIN,SID11112216,6
OCC1OC(C#Cc2ccccc2)C=CC1O,UVBDXUUXCFGDNY-UHFFFAOYSA-N,5.3,0.15491933384829648,,SID26752481,6
CCN(CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,XIQVNETUBQGFHX-JOCHJYFZSA-N,5.1000000000000005,0.2190890230020662,ESOXYBUTYNIN,SID11112488,6
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,YVUQSNJEYSNKRX-UHFFFAOYSA-N,5.322,0.20104725812604377,PIMOZIDE,SID11112507,6
CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@H]2c3cccc4c3c(cn4C)C[C@@H]21,WZHJKEUHNJHDLS-HARLFGEKSA-N,5.25,0.05477225575051642,,SID11113340,6
NNC(=O)c1ccncc1,QRXWMOHMRWLFEY-UHFFFAOYSA-N,5.16,0.32863353450310007,ISONIAZID,SID11112128,5
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,BVPWJMCABCPUQY-UHFFFAOYSA-N,5.26,0.32863353450309946,CLEBOPRIDE MALEATE,SID26748881,5
COc1ccc2c3c([nH]c2c1)C(C)=NCC3,RERZNCLIYCABFS-UHFFFAOYSA-N,5.24,0.4929503017546492,HARMALINE,SID26748426,5
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,VHOGYURTWQBHIL-UHFFFAOYSA-N,5.66,0.4929503017546499,LEFLUNOMIDE,SID11111383,5
Nc1cc(-c2ccncc2)c[nH]c1=O,RNLQIBCLLYYYFJ-UHFFFAOYSA-N,5.18,0.4381780460041326,INAMRINONE,SID26750001,5
CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,ZOWYFYXTIWQBEP-UHFFFAOYSA-N,5.14,0.21908902300206637,ETHAVERINE HYDROCHLORIDE,SID26748459,5
